c_file_name,category,error_type,llm_name,num_parameters,num_lines,cyclomatic_complexity
33751.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,52,2.667
36557.c,VULNERABLE,arithmetic overflow on mul,gpt4o_mini,,107,2.2
4403.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,137,1.625
49882.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,66,7.0
6390.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,79,2.4
39454.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,108,3.833
34274.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,76,3.0
42620.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,57,2.25
8597.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,64,7.0
132.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,101,10.0
8086.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,79,4.0
5490.c,VULNERABLE,array bounds violated: upper bound,mistral,7.0,60,2.333
3645.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,74,3.25
57543.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,81,3.25
38929.c,UNKNOWN (time out),,gemini_pro,,80,5.0
41171.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,106,3.0
37421.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,59,10.0
37283.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,105,4.25
4398.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,158,5.667
32623.c,NON-VULNERABLE,,gpt4o_mini,,85,3.4
59794.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,85,9.0
5525.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,79,4.333
16657.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,98,1.875
35505.c,VULNERABLE,arithmetic overflow on add,gpt4o_mini,,119,4.6
68730.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,90,10.0
19443.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,127,9.0
51472.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,62,3.0
41954.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,73,1.5
29643.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,87,2.4
25729.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,66,9.0
29497.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,151,4.111
39835.c,VULNERABLE,buffer overflow on scanf,gpt35,,128,4.4
37175.c,UNKNOWN (time out),,gpt4o_mini,,119,6.0
14960.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,132,2.375
38306.c,VULNERABLE,dereference failure: Access to object out of bounds,gpt4o_mini,,115,3.167
26590.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,182,3.556
2489.c,UNKNOWN (time out),,codellama,13.0,158,4.571
38527.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,81,1.0
1474.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,60,9.0
23956.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,69,1.5710000000000002
4828.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,52,14.0
2105.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,130,1.8
13122.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,59,2.2
3313.c,VULNERABLE,arithmetic overflow on add,gpt4o_mini,,131,3.286
29634.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,135,3.667
11347.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,100,17.0
36747.c,UNKNOWN (time out),,falcon,180.0,70,9.0
6733.c,VULNERABLE,dereference failure: invalid pointer,mistral,7.0,83,2.2
25472.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,62,1.2
3578.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,126,2.667
12407.c,VULNERABLE,buffer overflow on scanf,gpt35,,59,7.0
27176.c,VULNERABLE,buffer overflow on sscanf,gpt4o_mini,,120,6.5
2766.c,VULNERABLE,arithmetic overflow on mul,gemma,7.0,56,7.0
14799.c,VULNERABLE,arithmetic overflow on add,gemini_pro,,142,7.5
24837.c,VULNERABLE,division by zero,gpt4o_mini,,77,3.0
4495.c,NON-VULNERABLE,,gemma,7.0,52,1.0
8476.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,93,2.667
33845.c,VULNERABLE,buffer overflow on scanf,gpt35,,56,4.0
18501.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,61,1.4
36165.c,VULNERABLE,buffer overflow on scanf,gpt35,,75,9.0
41866.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,79,3.333
25545.c,VULNERABLE,buffer overflow on fscanf,falcon,180.0,80,2.5
58714.c,VULNERABLE,buffer overflow on scanf,gpt35,,92,22.0
39996.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,165,3.375
11400.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,73,8.0
11280.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,83,4.0
43113.c,VULNERABLE,dereference failure: forgotten memory,gpt35,,159,3.6
9155.c,VULNERABLE,buffer overflow on scanf,gpt35,,74,2.75
41983.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,67,1.5
710.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,54,7.0
10648.c,UNKNOWN (time out),,codellama,13.0,73,2.5
33749.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,55,8.0
61937.c,UNKNOWN (time out),,falcon,180.0,67,5.5
2131.c,VULNERABLE,buffer overflow on scanf,gpt35,,69,11.0
39121.c,UNKNOWN (time out),,gpt4o_mini,,112,5.333
8838.c,UNKNOWN (time out),,gpt35,,98,4.75
3632.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,82,2.25
38573.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,100,2.0
12754.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,55,4.0
12994.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,74,7.0
25834.c,VULNERABLE,array bounds violated: lower bound,gemma,7.0,82,10.0
25994.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,128,2.429
38915.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,134,3.8
16472.c,VULNERABLE,buffer overflow on scanf,gpt35,,86,2.8
27215.c,VULNERABLE,buffer overflow on scanf,gpt35,,71,4.0
14618.c,VULNERABLE,dereference failure: forgotten memory,llama2,13.0,76,2.8
18530.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,53,4.5
26166.c,VULNERABLE,arithmetic overflow on floating-point ieee_sub,gpt35,,59,1.167
60898.c,VULNERABLE,VLA array size in bytes overflows address space size,gpt35,,146,6.0
65077.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,71,9.0
21905.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,65,1.75
17574.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,59,1.75
2836.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,74,3.0
14340.c,VULNERABLE,arithmetic overflow on sub,falcon,180.0,123,2.222
36155.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,66,4.0
1184.c,VULNERABLE,arithmetic overflow on sub,gpt4o_mini,,111,6.0
49458.c,VULNERABLE,arithmetic overflow on sub,falcon,180.0,79,5.0
4427.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,68,4.667
33764.c,VULNERABLE,arithmetic overflow on sub,gemma,7.0,63,2.5
47244.c,VULNERABLE,buffer overflow on scanf,gpt35,,53,3.5
6993.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,107,1.778
15078.c,UNKNOWN (time out),,falcon,180.0,86,4.6
75892.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,54,4.0
47841.c,VULNERABLE,buffer overflow on scanf,gpt35,,92,3.75
68272.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,91,7.0
47439.c,UNKNOWN (time out),,falcon,180.0,79,4.333
64190.c,VULNERABLE,dereference failure: forgotten memory,gpt35,,104,2.6
7375.c,VULNERABLE,dereference failure: invalid pointer,llama2,13.0,55,3.0
32217.c,UNKNOWN (time out),,gpt4o_mini,,87,6.0
31991.c,UNKNOWN (time out),,gpt4o_mini,,114,7.5
33332.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,64,2.2
20435.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,58,2.0
13062.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,76,4.0
31070.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,57,3.0
47828.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,103,2.333
4772.c,VULNERABLE,dereference failure: of non-dynamic memory,gemma,7.0,55,2.5
26203.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,163,2.6
12812.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,114,3.143
56058.c,VULNERABLE,buffer overflow on scanf,gpt35,,155,4.4
27801.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,133,2.125
25027.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,65,5.0
10768.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,86,5.5
9341.c,UNKNOWN (time out),,gpt4o_mini,,71,3.0
39841.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,77,2.333
43484.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,82,13.0
9774.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,68,2.0
29349.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,79,3.667
14215.c,VULNERABLE,array bounds violated: lower bound,gemma,7.0,81,13.0
4176.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,75,2.0
957.c,VULNERABLE,buffer overflow on scanf,gpt35,,149,4.6
37996.c,UNKNOWN (time out),,gpt35,,61,2.25
18274.c,VULNERABLE,dereference failure: array bounds violated,gemini_pro,,75,4.0
2969.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,68,1.4
46540.c,VULNERABLE,buffer overflow on scanf,gpt35,,61,2.25
18030.c,VULNERABLE,dereference failure: forgotten memory,gemini_pro,,92,3.333
36409.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,82,1.857
24968.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,171,6.0
25336.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,53,3.5
9428.c,NON-VULNERABLE,,llama2,13.0,55,1.25
12088.c,UNKNOWN (time out),,falcon,180.0,75,6.0
26117.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,61,4.0
2791.c,VULNERABLE,arithmetic overflow on add,gpt35,,151,4.333
26525.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,90,1.714
18053.c,VULNERABLE,dereference failure: invalid pointer,gemma,7.0,51,5.5
42234.c,VULNERABLE,buffer overflow on scanf,gpt35,,69,2.667
24331.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,130,2.857
30723.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,114,3.0
5591.c,VULNERABLE,division by zero,falcon2,11.0,52,6.0
34174.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,189,19.0
4297.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,236,2.25
29968.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,136,3.286
7704.c,NON-VULNERABLE,,llama2,13.0,97,2.0
22980.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,62,4.0
36517.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,77,2.0
2444.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,111,2.571
41911.c,VULNERABLE,buffer overflow on scanf,gpt35,,78,10.0
15031.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,55,1.667
27352.c,VULNERABLE,arithmetic overflow on mul,gemini_pro,,126,2.0
33282.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,78,3.333
7040.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,54,5.0
12494.c,VULNERABLE,dereference failure: Object accessed with incompatible base type,llama2,13.0,68,3.75
40747.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,60,7.0
57114.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,97,4.5
20220.c,VULNERABLE,buffer overflow on scanf,gpt35,,146,3.8
3703.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,93,8.0
38470.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,85,11.0
12857.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,51,3.0
35831.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,66,2.5
15666.c,VULNERABLE,buffer overflow on scanf,gpt35,,192,4.286
62585.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,75,3.25
10049.c,VULNERABLE,arithmetic overflow on floating-point ieee_add,falcon,180.0,69,2.0
1495.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,105,4.667
8006.c,VULNERABLE,array bounds violated: lower bound,gemma,7.0,89,12.0
13814.c,VULNERABLE,array bounds violated: upper bound,gemini_pro,,57,4.0
46267.c,UNKNOWN (time out),,gpt35,,55,2.5
18962.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,99,3.5
37258.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,66,8.0
2987.c,VULNERABLE,the pointer to a file object must be a valid argument,falcon2,11.0,65,1.0
10795.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,77,4.0
3919.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,85,3.0
8904.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,123,3.4
52277.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,51,2.0
67658.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,53,3.5
7262.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,109,4.0
43695.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,53,1.75
16871.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,66,3.5
3099.c,VULNERABLE,dereference failure: invalidated dynamic object,gemini_pro,,105,2.4
17104.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,74,3.5
41741.c,VULNERABLE,buffer overflow on scanf,gpt35,,104,4.333
14332.c,VULNERABLE,buffer overflow on scanf,gpt35,,60,5.0
28720.c,VULNERABLE,arithmetic overflow on sub,gemini_pro,,57,2.25
20467.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,72,1.8
5927.c,VULNERABLE,dereference failure: Access to object out of bounds,gemini_pro,,143,6.6
5529.c,VULNERABLE,array bounds violated: lower bound,falcon,180.0,82,3.8
35951.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,56,3.0
10388.c,UNKNOWN (time out),,gemini_pro,,88,2.8
74388.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,87,4.5
31566.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,53,6.0
35550.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,68,11.0
4680.c,VULNERABLE,dereference failure: invalid pointer,mistral,7.0,70,3.5
1436.c,UNKNOWN (time out),,gpt35,,71,4.0
43228.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,63,2.0
39593.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,91,2.6
47416.c,VULNERABLE,buffer overflow on sscanf,gpt35,,63,1.6
30573.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,176,11.5
18579.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,63,2.0
10793.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,81,6.0
38980.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,67,4.0
21788.c,VULNERABLE,array bounds violated: upper bound,gemma,7.0,103,11.0
8253.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,61,2.0
22141.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,69,1.2
2956.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,76,1.667
15182.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,132,8.667
43008.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,82,3.0
54434.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,215,4.4
121.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,gpt4o_mini,,74,2.5
46854.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,70,5.5
22593.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,100,2.2
26339.c,VULNERABLE,buffer overflow on scanf,gpt35,,132,15.0
10443.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,167,3.375
45146.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,98,2.25
28025.c,UNKNOWN (time out),,gemini_pro,,73,8.0
12070.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,100,3.0
20624.c,UNKNOWN (time out),,gpt4o_mini,,71,4.25
65624.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,99,3.667
52803.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,99,1.833
5175.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,61,2.0
44986.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,64,2.25
10464.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,59,2.25
120.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,84,5.0
18584.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,82,2.6
38702.c,VULNERABLE,array bounds violated: upper bound,gemma,7.0,81,9.0
44264.c,VULNERABLE,arithmetic overflow on sub,gpt35,,58,2.5
36609.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,136,5.0
32508.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,216,3.8
76482.c,VULNERABLE,buffer overflow on scanf,gpt35,,78,5.0
50196.c,VULNERABLE,dereference failure: forgotten memory,falcon,180.0,65,8.0
28384.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,107,1.857
46576.c,UNKNOWN (time out),,gpt35,,113,16.0
20161.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,59,5.0
36992.c,UNKNOWN (time out),,falcon,180.0,97,9.0
41199.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,71,4.0
32069.c,VULNERABLE,array bounds violated: upper bound,gemini_pro,,116,4.0
24023.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,89,10.0
34218.c,VULNERABLE,buffer overflow on scanf,gpt35,,119,15.0
11164.c,VULNERABLE,array bounds violated: upper bound,falcon,180.0,51,4.5
15133.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,73,2.6
10828.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,102,9.5
2849.c,NON-VULNERABLE,,gemma,7.0,77,18.0
1725.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,52,3.0
59804.c,UNKNOWN (time out),,falcon,180.0,56,2.75
4214.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,105,4.75
40033.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,80,1.8
14358.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,83,5.0
19158.c,UNKNOWN (time out),,gemini_pro,,59,6.0
53962.c,UNKNOWN (time out),,falcon,180.0,69,6.0
13048.c,VULNERABLE,array bounds violated: lower bound,gemma,7.0,70,14.0
31591.c,VULNERABLE,buffer overflow on scanf,gpt35,,128,5.833
9972.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,112,5.0
31136.c,VULNERABLE,dereference failure: invalidated dynamic object,gpt35,,88,4.667
28970.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,67,2.0
23338.c,NON-VULNERABLE,,gemma,7.0,65,1.0
65101.c,VULNERABLE,buffer overflow on scanf,gpt35,,138,3.2
6155.c,VULNERABLE,buffer overflow on scanf,gpt35,,112,19.0
841.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,76,2.6
11497.c,VULNERABLE,dereference failure: invalid pointer,codellama,13.0,124,4.0
1544.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,55,2.5
60813.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,64,4.5
20295.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,61,11.0
9248.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,93,4.25
22985.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,119,3.2
28889.c,UNKNOWN (time out),,gpt4o_mini,,109,1.889
19136.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,160,4.833
10559.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,58,4.0
3600.c,VULNERABLE,dereference failure: forgotten memory,falcon2,11.0,119,2.667
44897.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,102,3.0
26991.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,85,4.667
22686.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,70,2.0
26042.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,74,1.667
8644.c,UNKNOWN (time out),,falcon2,11.0,67,8.0
16402.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,129,1.286
64224.c,VULNERABLE,buffer overflow on scanf,gpt35,,59,7.0
6091.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,103,2.4
49132.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,76,2.5
1852.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,64,4.0
2044.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,77,2.5
20818.c,UNKNOWN (time out),,gpt4o_mini,,124,5.333
13592.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,86,3.0
17654.c,VULNERABLE,buffer overflow on scanf,gpt35,,69,2.2
39490.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,136,3.5
2791.c,PARSING ERROR,,gemma,7.0,87,2.4
16179.c,VULNERABLE,arithmetic overflow on sub,gpt35,,73,15.0
31358.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,61,8.0
11180.c,VULNERABLE,buffer overflow on scanf,codellama,13.0,84,1.75
19588.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,68,10.0
31883.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,75,5.0
32282.c,VULNERABLE,buffer overflow on scanf,gpt35,,175,4.5
17955.c,VULNERABLE,other,gemini_pro,,79,2.4
14003.c,PARSING ERROR,,gemma,7.0,61,4.0
8440.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,65,8.0
13076.c,NON-VULNERABLE,,falcon,180.0,78,1.625
31672.c,UNKNOWN (time out),,gemma,7.0,61,5.0
33348.c,VULNERABLE,arithmetic overflow on sub,falcon,180.0,82,3.0
42964.c,VULNERABLE,array bounds violated: upper bound,falcon,180.0,65,3.4
36228.c,VULNERABLE,dereference failure: array bounds violated,gpt4o_mini,,113,2.4
37015.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,67,3.0
42412.c,VULNERABLE,buffer overflow on scanf,gpt35,,55,6.0
28142.c,VULNERABLE,dereference failure: forgotten memory,gemma,7.0,73,1.5
5193.c,VULNERABLE,dereference failure: forgotten memory,llama2,13.0,79,2.75
12094.c,VULNERABLE,buffer overflow on scanf,gpt35,,96,11.0
38594.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,69,5.0
22137.c,UNKNOWN (time out),,gpt4o_mini,,91,3.0
62010.c,VULNERABLE,buffer overflow on scanf,gpt35,,58,5.0
7066.c,UNKNOWN (time out),,falcon2,11.0,65,4.0
28552.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,154,3.857
19315.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,110,2.833
15664.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,60,6.0
31366.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,57,2.5
2369.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,81,1.75
32764.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,99,5.75
16357.c,UNKNOWN (time out),,gemini_pro,,81,3.5
50562.c,VULNERABLE,buffer overflow on scanf,gpt35,,119,10.0
35458.c,UNKNOWN (time out),,falcon,180.0,84,2.5
34415.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,86,1.75
182.c,UNKNOWN (time out),,gpt35,,78,23.0
10918.c,VULNERABLE,arithmetic overflow on add,gpt4o_mini,,79,2.25
67054.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,104,6.0
62116.c,VULNERABLE,buffer overflow on scanf,gpt35,,59,12.0
47685.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,53,2.333
33364.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,82,3.2
4699.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,82,3.5
53061.c,VULNERABLE,buffer overflow on scanf,gpt35,,59,6.0
4401.c,UNKNOWN (time out),,gpt35,,59,12.0
30471.c,VULNERABLE,buffer overflow on scanf,gpt35,,139,9.0
41868.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,66,3.5
41672.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,62,7.0
5880.c,VULNERABLE,buffer overflow on scanf,gpt35,,78,2.333
33805.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,131,5.0
56734.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,falcon,180.0,75,1.2
18094.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,144,3.25
9732.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,58,1.25
43718.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,76,2.667
8937.c,VULNERABLE,arithmetic overflow on add,llama2,13.0,112,6.333
42572.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,287,4.5
32110.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,142,3.286
70963.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,gpt35,,87,3.333
1906.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,85,3.75
13730.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,85,3.333
8049.c,NON-VULNERABLE,,gpt35,,51,2.0
11597.c,VULNERABLE,buffer overflow on scanf,gpt35,,176,8.333
12644.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,81,5.0
73804.c,NON-VULNERABLE,,gpt35,,65,1.0
61515.c,VULNERABLE,buffer overflow on scanf,gpt35,,89,4.0
73087.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,106,4.667
10039.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,155,6.0
555.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,99,3.5
26042.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,154,3.667
76667.c,UNKNOWN (time out),,gpt35,,143,3.6
41920.c,VULNERABLE,buffer overflow on scanf,gpt35,,62,6.0
71297.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,69,5.0
6362.c,VULNERABLE,buffer overflow on scanf,codellama,13.0,111,2.167
66267.c,VULNERABLE,buffer overflow on scanf,gpt35,,85,9.0
66711.c,VULNERABLE,buffer overflow on scanf,gpt35,,100,3.333
14105.c,NON-VULNERABLE,,gpt4o_mini,,69,2.25
56004.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,98,2.429
6703.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,69,1.333
58618.c,UNKNOWN (time out),,gpt35,,106,22.0
